"model","eq","term","b","se","p"
"M1","BE_main","(Intercept)",0.0231338094856256,0.0812000712418696,0.775895068737988
"M1","BE_main","Autocratic_c",-0.495581808983149,0.0639798966112117,1.10237328084649e-13
"M1","BE_main","Empowering_c",0.523316047165738,0.0594932053589199,7.22082935134947e-17
"M1","BE_main","Narcissism_c",-0.0520580740705098,0.0608559995547334,0.392915308348447
"M1","BE_main","PowerDistance_c",-0.0707448950569777,0.060997532459667,0.24694433015552
"M1","BE_main","FollowerAge_c",0.0131084951314955,0.0117373379042729,0.264859848119845
"M1","BE_main","Gender_Male",-0.0411806032728413,0.108924687016664,0.705618289514971
"M1","BE_main","TenureWithLeader_c",0.0275166868382336,0.0369561872771535,0.457042452628557
"M1","BE_main","InteractionFreq_c",-0.00335924331332755,0.0501612369709532,0.946645817191963
"M1","BE_int","(Intercept)",0.0130863048172432,0.0811888407929025,0.872044576066393
"M1","BE_int","Autocratic_c",-0.502596135758235,0.0639634876940288,5.20468109534992e-14
"M1","BE_int","Narcissism_c",-0.0565847492804205,0.0608194105176651,0.352837993575093
"M1","BE_int","Empowering_c",0.520224107250309,0.0595063250637328,1.06685979003669e-16
"M1","BE_int","PowerDistance_c",-0.0836127055585769,0.0608390843140579,0.170245851531275
"M1","BE_int","FollowerAge_c",0.0104851399627903,0.011688754417887,0.370338691418169
"M1","BE_int","Gender_Male",-0.0356362259151198,0.108599389843671,0.743004859080726
"M1","BE_int","TenureWithLeader_c",0.0332579977670665,0.0368038054029738,0.366817375377831
"M1","BE_int","InteractionFreq_c",0.00455098338015732,0.0498400839878784,0.927298684993225
"M1","BE_int","Autocratic_c:Narcissism_c",-0.0420246914250089,0.074918335449467,0.575207918976636
"M1","BE_int","Narcissism_c:Empowering_c",0.0308104650864912,0.0750149570563034,0.681533436977821
"M1","BE_int","Autocratic_c:PowerDistance_c",-0.0233889997586958,0.0670087470494783,0.727272353583666
"M1","BE_int","Empowering_c:PowerDistance_c",-0.153270602406397,0.0632207497180811,0.0158557348903361
"M1","ME_main","(Intercept)",0.0699869083338211,0.0772721369028314,0.365725532727235
