"model","eq","term","b","se","p","ci_lo","ci_hi"
"M1","BE","Intercept",0.0154050115498273,0.0828752176338619,0.859333333333333,-0.14782141575,0.176898662
"M1","BE","Autocratic_c",-0.504442633023333,0.0668441193711084,0,-0.635576699,-0.3723552115
"M1","BE","Empowering_c",0.520085700128333,0.0615668571477674,0,0.397712461,0.638035788
"M1","BE","Narcissism_c",-0.058349486285263,0.0648546320365785,0.369,-0.18531585675,0.0667321669999999
"M1","BE","PowerDistance_c",-0.0827300236189478,0.0631796040707888,0.187666666666667,-0.20854587025,0.0389819241
"M1","BE","ALNARC",-0.0418362283235002,0.0765923448962185,0.589333333333333,-0.1902819435,0.104279828
"M1","BE","ELNARC",0.0304536282294912,0.0770502041010535,0.694666666666667,-0.11970255775,0.18043515275
"M1","BE","ALPD",-0.023631195400143,0.0693602168338792,0.718666666666667,-0.15987520025,0.1123255795
"M1","BE","ELPD",-0.154453089210511,0.0666128630420665,0.02,-0.2834116065,-0.02372147065
"M1","BE","FollowerAge_c",0.0110308420511632,0.012018540095494,0.360333333333333,-0.0117483065,0.034814314825
"M1","BE","Gender_Male",-0.0408534618615848,0.112152121258207,0.72,-0.2598161765,0.17882878025
"M1","BE","TenureWithLeader_c",0.032469746720058,0.0381377563314978,0.391,-0.042648133025,0.107051114
"M1","BE","InteractionFreq_c",0.00608853306291967,0.0520963244805774,0.911333333333333,-0.099395024975,0.110175759
"M1","ME","Intercept",0.0565623863193313,0.0776436069737447,0.462333333333333,-0.0957181762,0.20759744375
"M1","ME","Autocratic_c",0.605890368153333,0.0620194569956984,0,0.48438013425,0.7272437595
"M1","ME","Empowering_c",-0.386576449065,0.0565873347988634,0,-0.4958910305,-0.27659255975
"M1","ME","Narcissism_c",-0.0105010939234165,0.0584632153843839,0.856,-0.1262506795,0.10300451875
"M1","ME","PowerDistance_c",0.00250490535085217,0.0571944597038823,0.964333333333333,-0.11287648075,0.113786755
"M1","ME","ALNARC",0.0147454460814713,0.0700918775038192,0.832,-0.12146380575,0.151895688
"M1","ME","ELNARC",0.0638958698830945,0.0699510462746826,0.364333333333333,-0.073869011475,0.1987341555
"M1","ME","ALPD",-0.145119603812278,0.0617982290374137,0.0196666666666667,-0.26698746775,-0.0227024964000003
"M1","ME","ELPD",0.0145769446436704,0.058834154832714,0.799333333333333,-0.100719878,0.12729201575
"M1","ME","FollowerAge_c",0.012811798362569,0.0109588691938967,0.237333333333333,-0.0083179720525,0.03432666575
"M1","ME","Gender_Male",-0.111622127643929,0.102020284774391,0.268333333333333,-0.30867445825,0.0944629081
"M1","ME","TenureWithLeader_c",0.0195003808166278,0.0347184551203338,0.572666666666667,-0.0473013576,0.0880153008249998
"M1","ME","InteractionFreq_c",0.026653898736945,0.0469116061416554,0.569666666666667,-0.06582929225,0.1184816115
"M1","THR","Intercept",0.00147981936793783,0.0625802247253418,0.982,-0.12050605025,0.12549475
"M1","THR","BenignEnvy_c",0.0775485421336722,0.0517087123481657,0.14,-0.024895818575,0.17727897275
"M1","THR","MaliciousEnvy_c",-0.127574342735391,0.0557206956679062,0.0186666666666667,-0.23667981,-0.01947059205
"M1","THR","Autocratic_c",-0.0203647296936543,0.0722439572197534,0.782,-0.16052000075,0.1202110975
"M1","THR","Empowering_c",0.048849753804278,0.0642825844074364,0.441333333333333,-0.077079315775,0.17884627675
"M1","THR","Narcissism_c",-0.00756652132474339,0.047564308435667,0.866666666666667,-0.1015746275,0.0844628136249999
"M1","THR","PowerDistance_c",0.0234488766179908,0.0475798336731767,0.621333333333333,-0.0703957188,0.116933277
"M1","THR","T1_Thriving_c",0.135782993713813,0.0685897863986088,0.0486666666666667,0.00055135032175,0.27079273925
"M1","THR","FollowerAge_c",-0.016879049447826,0.00908804548684508,0.058,-0.034985237775,0.000545566507499983
"M1","THR","Gender_Male",-0.00154348358437628,0.0830351556537787,0.969,-0.1660270855,0.16387384725
"M1","THR","TenureWithLeader_c",0.00258264022043597,0.0285940728100911,0.917,-0.05272595075,0.0575480692
"M1","THR","InteractionFreq_c",0.0068272065071738,0.0385317028541677,0.861,-0.06919365065,0.082881002575
"M1","OCBS","Intercept",0.0144776731166153,0.114848901422653,0.911,-0.21037193775,0.24040933675
"M1","OCBS","BenignEnvy_c",0.0514458519762804,0.067947270975693,0.457,-0.079459926725,0.18624234725
