"model","eq","r2w","r2b"
"M1","BE_main",0.357262308717974,1
"M1","BE_int",0.368700969628326,1
"M1","ME_main",0.334390825775436,1
"M1","ME_int",0.350775638867931,1
"M1","THR",0.112828357602592,NA
"M1","OCBS",0.0376293418031349,0.0365573634054502
"M1","CWBS",0.157440671683876,0.0844343570285282
"M2","BE_main",0.352812477854055,1
"M2","BE_int",0.364790264387464,1
"M2","ME_main",0.325762515064789,1
"M2","ME_int",0.344276896394267,1
"M2","THR",0.0916889542235619,NA
"M2","OCBS",0.0144699098176437,0.0359807776290213
"M2","CWBS",0.154736304119571,0.0726247632630567
"M3","BE_main",0.357262308717974,1
"M3","BE_int",0.368700969628326,1
"M3","ME_main",0.334390825775436,1
"M3","ME_int",0.350775638867931,1
"M3","THR",0.112828357602592,NA
"M3","OCBS",0.281704540904011,0.61799699135406
"M3","CWBS",0.306357690799029,1
