"construct","chisq","df","cfi","tli","rmsea","srmr"
"Aut",28.5,9,0.966,0.944,0.08,0.034
"Emp",72.7,54,0.973,0.967,0.032,0.038
"Narc",20.3,9,0.98,0.967,0.061,0.031
"PD",8.4,5,0.993,0.986,0.045,0.021
"BE",7.3,5,0.996,0.992,0.037,0.019
"ME",13.8,5,0.983,0.967,0.072,0.026
"T1Thriving",82.3,35,0.985,0.981,0.063,0.019
"T3Thriving",97.1,35,0.964,0.954,0.072,0.036
"OCBS_L",8.8,9,1,1,0,0.02
"CWBS_L",5.4,5,0.999,0.999,0.014,0.018
"OCBS_F",18.1,9,0.985,0.975,0.055,0.027
"CWBS_F",6.3,5,0.997,0.995,0.028,0.018
